name,rt
Start,0
4-Pyridoxic acid,41
3'-O-methyladenosine,105.93
Creatinine,163.83
Nicotinate,216.8
Guanosine,256.11
N-Acetylcadaverine,292.93
Beta-Alanine,355.99
dAMP,416.52
gamma-L-Glutamyl-L-glutamic acid,452
"N6,N6,N6-Trimethyl-L-lysine",506.13
End,720
