name,rt
Start,0
L-Norleucine,64.34
"3,7-Dimethyluric acid",131.13
L-Abrine,212.23
Kynurenic acid,266.13
Liothyronine,356.2
Capric acid,475.03
9-cis-Retinoic acid,539.61
Behenic acid,635.06
End,720
